report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1202,all_persons,2021-02-01,2021-02-28,Q5a
Number of Adults (age 18 or over),928,all_persons,2021-02-01,2021-02-28,Q5a
Number of Children (under age 18),264,all_persons,2021-02-01,2021-02-28,Q5a
Number of Persons with Unknown Age,10,all_persons,2021-02-01,2021-02-28,Q5a
Number of Leavers,211,all_persons,2021-02-01,2021-02-28,Q5a
Number of Adult Leavers,172,all_persons,2021-02-01,2021-02-28,Q5a
Number of Adult and Head of Household Leavers,174,all_persons,2021-02-01,2021-02-28,Q5a
Number of Stayers,991,all_persons,2021-02-01,2021-02-28,Q5a
Number of Adult Stayers,756,all_persons,2021-02-01,2021-02-28,Q5a
Number of Veterans,50,all_persons,2021-02-01,2021-02-28,Q5a
Number of Chronically Homeless Persons,182,all_persons,2021-02-01,2021-02-28,Q5a
Number of Youth Under Age 25,78,all_persons,2021-02-01,2021-02-28,Q5a
Number of Parenting Youth Under Age 25 with Children,17,all_persons,2021-02-01,2021-02-28,Q5a
Number of Adult Heads of Household,773,all_persons,2021-02-01,2021-02-28,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2021-02-01,2021-02-28,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,320,all_persons,2021-02-01,2021-02-28,Q5a
