conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,219,14,1,stayers,2021-02-01,2021-02-28,Q13c1,without_children,204
Mental Health Disorder,219,14,1,stayers,2021-02-01,2021-02-28,Q13c1,with_only_children,0
Mental Health Disorder,219,14,1,stayers,2021-02-01,2021-02-28,Q13c1,unknown_household_type,0
Alcohol Use Disorder,42,0,0,stayers,2021-02-01,2021-02-28,Q13c1,without_children,42
Alcohol Use Disorder,42,0,0,stayers,2021-02-01,2021-02-28,Q13c1,with_only_children,0
Alcohol Use Disorder,42,0,0,stayers,2021-02-01,2021-02-28,Q13c1,unknown_household_type,0
Drug Use Disorder,24,1,0,stayers,2021-02-01,2021-02-28,Q13c1,without_children,23
Drug Use Disorder,24,1,0,stayers,2021-02-01,2021-02-28,Q13c1,with_only_children,0
Drug Use Disorder,24,1,0,stayers,2021-02-01,2021-02-28,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,47,0,0,stayers,2021-02-01,2021-02-28,Q13c1,without_children,47
Both Alcohol and Drug Use Disorders,47,0,0,stayers,2021-02-01,2021-02-28,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,47,0,0,stayers,2021-02-01,2021-02-28,Q13c1,unknown_household_type,0
Chronic Health Condition,120,8,1,stayers,2021-02-01,2021-02-28,Q13c1,without_children,111
Chronic Health Condition,120,8,1,stayers,2021-02-01,2021-02-28,Q13c1,with_only_children,0
Chronic Health Condition,120,8,1,stayers,2021-02-01,2021-02-28,Q13c1,unknown_household_type,0
HIV/AIDS,98,8,0,stayers,2021-02-01,2021-02-28,Q13c1,without_children,89
HIV/AIDS,98,8,0,stayers,2021-02-01,2021-02-28,Q13c1,with_only_children,0
HIV/AIDS,98,8,0,stayers,2021-02-01,2021-02-28,Q13c1,unknown_household_type,1
Development Disability,54,6,10,stayers,2021-02-01,2021-02-28,Q13c1,without_children,37
Development Disability,54,6,10,stayers,2021-02-01,2021-02-28,Q13c1,with_only_children,0
Development Disability,54,6,10,stayers,2021-02-01,2021-02-28,Q13c1,unknown_household_type,1
Physical Disability,127,12,1,stayers,2021-02-01,2021-02-28,Q13c1,without_children,114
Physical Disability,127,12,1,stayers,2021-02-01,2021-02-28,Q13c1,with_only_children,0
Physical Disability,127,12,1,stayers,2021-02-01,2021-02-28,Q13c1,unknown_household_type,0
