count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2021-02-01,2021-02-28,Q20b,benefit_at_entry,539
No Sources,all_persons,2021-02-01,2021-02-28,Q20b,benefit_at_latest_annual_assessment_for_stayers,24
No Sources,all_persons,2021-02-01,2021-02-28,Q20b,benefit_at_exit_for_leavers,95
1 + Source(s),all_persons,2021-02-01,2021-02-28,Q20b,benefit_at_entry,295
1 + Source(s),all_persons,2021-02-01,2021-02-28,Q20b,benefit_at_latest_annual_assessment_for_stayers,32
1 + Source(s),all_persons,2021-02-01,2021-02-28,Q20b,benefit_at_exit_for_leavers,45
Client Doesn't Know/Client Refused,all_persons,2021-02-01,2021-02-28,Q20b,benefit_at_entry,2
Client Doesn't Know/Client Refused,all_persons,2021-02-01,2021-02-28,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2021-02-01,2021-02-28,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-02-01,2021-02-28,Q20b,benefit_at_entry,92
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-02-01,2021-02-28,Q20b,benefit_at_latest_annual_assessment_for_stayers,700
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-02-01,2021-02-28,Q20b,benefit_at_exit_for_leavers,32
