length_participation,total,population,start_date,end_date,question,status,count
30 days or less,22,youth,2021-02-01,2021-02-28,Q27e,leavers,16
30 days or less,22,youth,2021-02-01,2021-02-28,Q27e,stayers,6
31 to 60 days,10,youth,2021-02-01,2021-02-28,Q27e,leavers,0
31 to 60 days,10,youth,2021-02-01,2021-02-28,Q27e,stayers,10
61 to 90 days,4,youth,2021-02-01,2021-02-28,Q27e,leavers,0
61 to 90 days,4,youth,2021-02-01,2021-02-28,Q27e,stayers,4
91 to 180 days,15,youth,2021-02-01,2021-02-28,Q27e,leavers,3
91 to 180 days,15,youth,2021-02-01,2021-02-28,Q27e,stayers,12
181 to 365 days,5,youth,2021-02-01,2021-02-28,Q27e,leavers,0
181 to 365 days,5,youth,2021-02-01,2021-02-28,Q27e,stayers,5
366 to 730 Days (1-2 Yrs),11,youth,2021-02-01,2021-02-28,Q27e,leavers,0
366 to 730 Days (1-2 Yrs),11,youth,2021-02-01,2021-02-28,Q27e,stayers,11
"731 to 1,095 Days (2-3 Yrs)",4,youth,2021-02-01,2021-02-28,Q27e,leavers,0
"731 to 1,095 Days (2-3 Yrs)",4,youth,2021-02-01,2021-02-28,Q27e,stayers,4
"1,096 to 1,460 Days (3-4 Yrs)",2,youth,2021-02-01,2021-02-28,Q27e,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",2,youth,2021-02-01,2021-02-28,Q27e,stayers,2
"1,461 to 1,825 Days (5-5 Yrs)",5,youth,2021-02-01,2021-02-28,Q27e,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",5,youth,2021-02-01,2021-02-28,Q27e,stayers,5
"More than 1,825 Days (>5 Yrs)",0,youth,2021-02-01,2021-02-28,Q27e,leavers,0
"More than 1,825 Days (>5 Yrs)",0,youth,2021-02-01,2021-02-28,Q27e,stayers,0
Data Not Collected,0,youth,2021-02-01,2021-02-28,Q27e,leavers,0
Data Not Collected,0,youth,2021-02-01,2021-02-28,Q27e,stayers,0
