length_participation,total,population,start_date,end_date,question,status,count
30 days or less,34,youth,2021-12-01,2021-12-31,Q27e,leavers,13
30 days or less,34,youth,2021-12-01,2021-12-31,Q27e,stayers,21
31 to 60 days,8,youth,2021-12-01,2021-12-31,Q27e,leavers,0
31 to 60 days,8,youth,2021-12-01,2021-12-31,Q27e,stayers,8
61 to 90 days,3,youth,2021-12-01,2021-12-31,Q27e,leavers,1
61 to 90 days,3,youth,2021-12-01,2021-12-31,Q27e,stayers,2
91 to 180 days,19,youth,2021-12-01,2021-12-31,Q27e,leavers,1
91 to 180 days,19,youth,2021-12-01,2021-12-31,Q27e,stayers,18
181 to 365 days,5,youth,2021-12-01,2021-12-31,Q27e,leavers,0
181 to 365 days,5,youth,2021-12-01,2021-12-31,Q27e,stayers,5
366 to 730 Days (1-2 Yrs),10,youth,2021-12-01,2021-12-31,Q27e,leavers,0
366 to 730 Days (1-2 Yrs),10,youth,2021-12-01,2021-12-31,Q27e,stayers,10
"731 to 1,095 Days (2-3 Yrs)",4,youth,2021-12-01,2021-12-31,Q27e,leavers,0
"731 to 1,095 Days (2-3 Yrs)",4,youth,2021-12-01,2021-12-31,Q27e,stayers,4
"1,096 to 1,460 Days (3-4 Yrs)",5,youth,2021-12-01,2021-12-31,Q27e,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",5,youth,2021-12-01,2021-12-31,Q27e,stayers,5
"1,461 to 1,825 Days (5-5 Yrs)",1,youth,2021-12-01,2021-12-31,Q27e,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",1,youth,2021-12-01,2021-12-31,Q27e,stayers,1
"More than 1,825 Days (>5 Yrs)",6,youth,2021-12-01,2021-12-31,Q27e,leavers,0
"More than 1,825 Days (>5 Yrs)",6,youth,2021-12-01,2021-12-31,Q27e,stayers,6
Data Not Collected,0,youth,2021-12-01,2021-12-31,Q27e,leavers,0
Data Not Collected,0,youth,2021-12-01,2021-12-31,Q27e,stayers,0
