income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,16,21,37,0.43,1,8,9,0.11,0,0,0,0.0,adults,2021-12-01,2021-12-31,Q19b
Supplemental Security Income (SSI),27,2,29,0.93,0,0,0,0.0,0,0,0,0.0,adults,2021-12-01,2021-12-31,Q19b
Social Security Disability Insurance (SSDI),20,1,21,0.95,0,0,0,0.0,0,0,0,0.0,adults,2021-12-01,2021-12-31,Q19b
VA Service-Connected Disability Compensation,3,0,3,1.0,0,0,0,0.0,0,0,0,0.0,adults,2021-12-01,2021-12-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-12-01,2021-12-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-12-01,2021-12-31,Q19b
Temporary Assistance for Needy Families (TANF),2,0,2,1.0,2,1,3,0.67,0,0,0,0.0,adults,2021-12-01,2021-12-31,Q19b
Retirement Income from Social Security,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2021-12-01,2021-12-31,Q19b
Pension or retirement income from a former job,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2021-12-01,2021-12-31,Q19b
Child Support,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2021-12-01,2021-12-31,Q19b
Other source,2,1,3,0.67,0,0,0,0.0,0,0,0,0.0,adults,2021-12-01,2021-12-31,Q19b
No Sources,14,29,43,0.33,2,7,9,0.22,0,0,0,0.0,adults,2021-12-01,2021-12-31,Q19b
Unduplicated Total Adults,63,50,113,NA,5,15,20,NA,0,0,0,NA,adults,2021-12-01,2021-12-31,Q19b
