report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1670,all_persons,2021-12-01,2021-12-31,Q5a
Number of Adults (age 18 or over),1294,all_persons,2021-12-01,2021-12-31,Q5a
Number of Children (under age 18),360,all_persons,2021-12-01,2021-12-31,Q5a
Number of Persons with Unknown Age,16,all_persons,2021-12-01,2021-12-31,Q5a
Number of Leavers,258,all_persons,2021-12-01,2021-12-31,Q5a
Number of Adult Leavers,202,all_persons,2021-12-01,2021-12-31,Q5a
Number of Adult and Head of Household Leavers,203,all_persons,2021-12-01,2021-12-31,Q5a
Number of Stayers,1412,all_persons,2021-12-01,2021-12-31,Q5a
Number of Adult Stayers,1092,all_persons,2021-12-01,2021-12-31,Q5a
Number of Veterans,76,all_persons,2021-12-01,2021-12-31,Q5a
Number of Chronically Homeless Persons,213,all_persons,2021-12-01,2021-12-31,Q5a
Number of Youth Under Age 25,95,all_persons,2021-12-01,2021-12-31,Q5a
Number of Parenting Youth Under Age 25 with Children,14,all_persons,2021-12-01,2021-12-31,Q5a
Number of Adult Heads of Household,1051,all_persons,2021-12-01,2021-12-31,Q5a
Number of Child and Unknown-Age Heads of Household,5,all_persons,2021-12-01,2021-12-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,443,all_persons,2021-12-01,2021-12-31,Q5a
