number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_start,225
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_annual_assessment_stayers,7
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_exit_leavers,36
Adults with Only Other Income,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_start,241
Adults with Only Other Income,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_annual_assessment_stayers,38
Adults with Only Other Income,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_exit_leavers,34
Adults with Both Earned and Other Income,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_start,29
Adults with Both Earned and Other Income,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_exit_leavers,7
Adults with No Income,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_start,745
Adults with No Income,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_annual_assessment_stayers,14
Adults with No Income,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_exit_leavers,119
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_start,3
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_start,46
Adults with Missing Income Information,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_exit_leavers,6
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_annual_assessment_stayers,649
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_annual_assessment_stayers,384
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_start,1294
Total Adults,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_annual_assessment_stayers,1092
Total Adults,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_exit_leavers,202
1 or More Source of Income,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_start,552
1 or More Source of Income,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_annual_assessment_stayers,46
1 or More Source of Income,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_exit_leavers,81
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_annual_assessment_stayers,59
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-12-01,2021-12-31,Q18,number_of_adults_at_exit_leavers,0
