living_situation,total,population,start_date,end_date,question,category,household_type,count
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",176,all_persons,2021-12-01,2021-12-31,Q15,Homeless Situations,without_children,143
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",176,all_persons,2021-12-01,2021-12-31,Q15,Homeless Situations,with_children_and_adults,33
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",176,all_persons,2021-12-01,2021-12-31,Q15,Homeless Situations,with_only_children,0
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",176,all_persons,2021-12-01,2021-12-31,Q15,Homeless Situations,unknown_household_type,0
Transitional housing for homeless persons (including homeless youth),3,all_persons,2021-12-01,2021-12-31,Q15,NA,without_children,3
Transitional housing for homeless persons (including homeless youth),3,all_persons,2021-12-01,2021-12-31,Q15,NA,with_children_and_adults,0
Transitional housing for homeless persons (including homeless youth),3,all_persons,2021-12-01,2021-12-31,Q15,NA,with_only_children,0
Transitional housing for homeless persons (including homeless youth),3,all_persons,2021-12-01,2021-12-31,Q15,NA,unknown_household_type,0
Place not meant for human habitation,290,all_persons,2021-12-01,2021-12-31,Q15,NA,without_children,263
Place not meant for human habitation,290,all_persons,2021-12-01,2021-12-31,Q15,NA,with_children_and_adults,27
Place not meant for human habitation,290,all_persons,2021-12-01,2021-12-31,Q15,NA,with_only_children,0
Place not meant for human habitation,290,all_persons,2021-12-01,2021-12-31,Q15,NA,unknown_household_type,0
Safe Haven,8,all_persons,2021-12-01,2021-12-31,Q15,NA,without_children,7
Safe Haven,8,all_persons,2021-12-01,2021-12-31,Q15,NA,with_children_and_adults,1
Safe Haven,8,all_persons,2021-12-01,2021-12-31,Q15,NA,with_only_children,0
Safe Haven,8,all_persons,2021-12-01,2021-12-31,Q15,NA,unknown_household_type,0
Host Home,0,all_persons,2021-12-01,2021-12-31,Q15,NA,without_children,0
Host Home,0,all_persons,2021-12-01,2021-12-31,Q15,NA,with_children_and_adults,0
Host Home,0,all_persons,2021-12-01,2021-12-31,Q15,NA,with_only_children,0
Host Home,0,all_persons,2021-12-01,2021-12-31,Q15,NA,unknown_household_type,0
Psychiatric hospital or other psychiatric facility,11,all_persons,2021-12-01,2021-12-31,Q15,Institutional Settings,without_children,11
Psychiatric hospital or other psychiatric facility,11,all_persons,2021-12-01,2021-12-31,Q15,Institutional Settings,with_children_and_adults,0
