, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",45,36,9,0,0
"""8 to 14 days""",6,3,3,0,0
"""15 to 21 days""",3,3,0,0,0
"""22 to 30 days""",18,10,8,0,0
"""31 to 60 days""",21,14,7,0,0
"""61 to 180 days""",77,56,21,0,0
"""181 to 365 days""",31,15,15,1,0
"""366-730 days (1-2 years)""",22,22,0,0,0
"""731 days or more""",44,35,9,0,0
"""Total (persons moved into housing)""",267,194,72,1,0
"""Not yet moved into housing""",25,5,20,0,0
"""Data not collected""",12,7,5,0,0
"""Total persons""",304,206,97,1,0
