, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",113,7,35
"""Unemployment Insurance""",1,0,0
"""Supplemental Security Income (SSI)""",67,20,17
"""Social Security Disability Insurance (SSDI)""",50,11,9
"""VA Service - Connected Disability Compensation""",8,4,2
"""VA Non-Service Connected Disability Pension""",3,2,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",16,0,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",5,2,1
"""Pension or retirement income from a former job""",2,0,0
"""Child Support""",10,0,2
"""Alimony and other spousal support""",1,0,1
"""Other Source""",3,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,45,1
