"""Total Number of Persons Served""",583
"""Number of Adults (age 18 or over)""",436
"""Number of Children (under age 18)""",145
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",143
"""Number of Adult Leavers""",108
"""Number of Adult and Head of Household Leavers""",109
"""Number of Stayers""",440
"""Number of Adult Stayers""",328
"""Number of Veterans""",33
"""Number of Chronically Homeless Persons""",82
"""Number of Youth Under Age 25""",25
"""Number of Parenting Youth Under Age 25 with Children""",3
"""Number of Adult Heads of Household""",370
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",114
