"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",97,6,30
"""Adults with Only Other Income""",122,27,23
"""Adults with Both Earned and Other Income""",15,1,5
"""Adults with No Income""",191,11,47
"""Adults with Client Doesn't Know/Client Refused Income Information""",1,0,0
"""Adults with Missing Income Information""",10,0,3
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,214,0
"""Number of Adult Stayers without Required Annual Assessment""",0,69,0
"""Total Adults""",436,328,108
"""1 or More Source of Income""",251,35,63
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,45,1
