number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_start,161
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_annual_assessment_stayers,9
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_exit_leavers,36
Adults with Only Other Income,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_start,184
Adults with Only Other Income,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_annual_assessment_stayers,35
Adults with Only Other Income,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_exit_leavers,46
Adults with Both Earned and Other Income,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_start,28
Adults with Both Earned and Other Income,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_exit_leavers,3
Adults with No Income,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_start,413
Adults with No Income,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_annual_assessment_stayers,15
Adults with No Income,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_exit_leavers,131
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_start,15
Adults with Missing Income Information,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_annual_assessment_stayers,331
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_annual_assessment_stayers,199
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_start,805
Total Adults,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_annual_assessment_stayers,589
Total Adults,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_exit_leavers,216
1 or More Source of Income,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_start,411
1 or More Source of Income,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_annual_assessment_stayers,45
1 or More Source of Income,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_exit_leavers,92
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_annual_assessment_stayers,59
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-07-01,2020-07-31,Q18,number_of_adults_at_exit_leavers,0
