count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2020-07-01,2020-07-31,Q20b,benefit_at_entry,476
No Sources,all_persons,2020-07-01,2020-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,24
No Sources,all_persons,2020-07-01,2020-07-31,Q20b,benefit_at_exit_for_leavers,107
1 + Source(s),all_persons,2020-07-01,2020-07-31,Q20b,benefit_at_entry,230
1 + Source(s),all_persons,2020-07-01,2020-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,33
1 + Source(s),all_persons,2020-07-01,2020-07-31,Q20b,benefit_at_exit_for_leavers,58
Client Doesn't Know/Client Refused,all_persons,2020-07-01,2020-07-31,Q20b,benefit_at_entry,0
Client Doesn't Know/Client Refused,all_persons,2020-07-01,2020-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2020-07-01,2020-07-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2020-07-01,2020-07-31,Q20b,benefit_at_entry,99
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2020-07-01,2020-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,532
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2020-07-01,2020-07-31,Q20b,benefit_at_exit_for_leavers,51
