income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,15,12,27,0.56,1,6,7,0.14,0,0,0,0.0,adults,2020-07-01,2020-07-31,Q19b
Supplemental Security Income (SSI),12,2,14,0.86,2,1,3,0.67,0,0,0,0.0,adults,2020-07-01,2020-07-31,Q19b
Social Security Disability Insurance (SSDI),18,1,19,0.95,1,0,1,1.0,0,0,0,0.0,adults,2020-07-01,2020-07-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-07-01,2020-07-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-07-01,2020-07-31,Q19b
Worker's Compensation,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-07-01,2020-07-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1.0,0,1,1,0.0,0,0,0,0.0,adults,2020-07-01,2020-07-31,Q19b
Retirement Income from Social Security,4,0,4,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-07-01,2020-07-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-07-01,2020-07-31,Q19b
Child Support,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-07-01,2020-07-31,Q19b
Other source,1,2,3,0.33,0,2,2,0.0,0,0,0,0.0,adults,2020-07-01,2020-07-31,Q19b
No Sources,22,19,41,0.54,1,4,5,0.2,0,0,0,0.0,adults,2020-07-01,2020-07-31,Q19b
Unduplicated Total Adults,67,36,103,NA,5,13,18,NA,0,0,0,NA,adults,2020-07-01,2020-07-31,Q19b
