report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1056,all_persons,2020-07-01,2020-07-31,Q5a
Number of Adults (age 18 or over),805,all_persons,2020-07-01,2020-07-31,Q5a
Number of Children (under age 18),242,all_persons,2020-07-01,2020-07-31,Q5a
Number of Persons with Unknown Age,9,all_persons,2020-07-01,2020-07-31,Q5a
Number of Leavers,254,all_persons,2020-07-01,2020-07-31,Q5a
Number of Adult Leavers,216,all_persons,2020-07-01,2020-07-31,Q5a
Number of Adult and Head of Household Leavers,216,all_persons,2020-07-01,2020-07-31,Q5a
Number of Stayers,802,all_persons,2020-07-01,2020-07-31,Q5a
Number of Adult Stayers,589,all_persons,2020-07-01,2020-07-31,Q5a
Number of Veterans,49,all_persons,2020-07-01,2020-07-31,Q5a
Number of Chronically Homeless Persons,150,all_persons,2020-07-01,2020-07-31,Q5a
Number of Youth Under Age 25,56,all_persons,2020-07-01,2020-07-31,Q5a
Number of Parenting Youth Under Age 25 with Children,10,all_persons,2020-07-01,2020-07-31,Q5a
Number of Adult Heads of Household,660,all_persons,2020-07-01,2020-07-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2020-07-01,2020-07-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,260,all_persons,2020-07-01,2020-07-31,Q5a
