non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_start,221
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,29
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_exit_for_leavers,54
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_start,14
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,1
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_exit_for_leavers,5
TANF Child Care Services,all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_start,2
TANF Child Care Services,all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_exit_for_leavers,0
TANF Transportation Services,all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_start,0
TANF Transportation Services,all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_start,6
Other TANF-Funded Services,all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_exit_for_leavers,2
Other Source,all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_start,7
Other Source,all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,9
Other Source,all_persons,2020-07-01,2020-07-31,Q20a,benefit_at_exit_for_leavers,0
