, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",321,9,71
"""$1 -  $150""",5,0,0
"""$151 - $250""",5,0,1
"""$251 - $500""",21,1,3
"""$501 - $1000""",141,21,33
"""$1001 - $1500""",80,10,16
"""$1501 - $2000""",69,7,12
"""$2001+""",54,5,9
"""Client Doesn't Know/Client Refused""",2,0,2
"""Data Not Collected""",133,6,48
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,410,0
"""Number of Adult Stayers without Required Annual Assessment""",0,167,0
"""Total Adults""",831,636,195
