, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",6,16,22,0.27,0,10,10,0.0,0,0,0,0.0
"""Supplemental Security Income (SSI)""",15,0,15,1.0,2,0,2,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",18,0,18,1.0,2,0,2,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,1,2,0.5,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",2,2,4,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""Other source""",0,0,0,0.0,0,2,2,0.0,0,0,0,0.0
"""No Sources""",18,36,54,0.33,3,3,6,0.5,0,0,0,0.0
"""Unduplicated Total Adults""",56,53,109,,5,16,21,,0,0,0,
