, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",74,52,22,0,0
"""8 to 14 days""",15,8,7,0,0
"""15 to 21 days""",13,11,2,0,0
"""22 to 30 days""",15,10,5,0,0
"""31 to 60 days""",32,21,11,0,0
"""61 to 180 days""",52,44,8,0,0
"""181 to 365 days""",40,31,9,0,0
"""366-730 days (1-2 years)""",30,30,0,0,0
"""731 days or more""",65,55,10,0,0
"""Total (persons moved into housing)""",336,262,74,0,0
"""Not yet moved into housing""",11,9,2,0,0
"""Data not collected""",21,20,1,0,0
"""Total persons""",368,291,77,0,0
