"""Total Number of Persons Served""",1073
"""Number of Adults (age 18 or over)""",831
"""Number of Children (under age 18)""",233
"""Number of Persons with Unknown Age""",9
"""Number of Leavers""",222
"""Number of Adult Leavers""",195
"""Number of Adult and Head of Household Leavers""",195
"""Number of Stayers""",851
"""Number of Adult Stayers""",636
"""Number of Veterans""",51
"""Number of Chronically Homeless Persons""",150
"""Number of Youth Under Age 25""",61
"""Number of Parenting Youth Under Age 25 with Children""",9
"""Number of Adult Heads of Household""",680
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",226
