, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",182,9,33
"""Unemployment Insurance""",7,0,2
"""Supplemental Security Income (SSI)""",99,20,19
"""Social Security Disability Insurance (SSDI)""",97,11,22
"""VA Service - Connected Disability Compensation""",12,4,2
"""VA Non-Service Connected Disability Pension""",4,2,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",13,1,3
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",17,3,4
"""Pension or retirement income from a former job""",6,1,2
"""Child Support""",10,0,1
"""Alimony and other spousal support""",0,0,0
"""Other Source""",5,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
