"""Total Number of Persons Served""",532
"""Number of Adults (age 18 or over)""",406
"""Number of Children (under age 18)""",124
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",138
"""Number of Adult Leavers""",104
"""Number of Adult and Head of Household Leavers""",104
"""Number of Stayers""",394
"""Number of Adult Stayers""",302
"""Number of Veterans""",21
"""Number of Chronically Homeless Persons""",56
"""Number of Youth Under Age 25""",13
"""Number of Parenting Youth Under Age 25 with Children""",3
"""Number of Adult Heads of Household""",348
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",131
