, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",5,5,0
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",18,7,2
"""Social Security Disability Insurance (SSDI)""",8,3,0
"""VA Service - Connected Disability Compensation""",4,1,0
"""VA Non-Service Connected Disability Pension""",1,0,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",1,1,0
"""Pension or retirement income from a former job""",0,0,0
"""Child Support""",0,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",0,0,0
"""Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit""",0,26,0
