, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",101,6,29
"""Unemployment Insurance""",4,0,1
"""Supplemental Security Income (SSI)""",64,17,10
"""Social Security Disability Insurance (SSDI)""",56,9,8
"""VA Service - Connected Disability Compensation""",4,1,0
"""VA Non-Service Connected Disability Pension""",1,0,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",9,0,4
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",6,1,1
"""Pension or retirement income from a former job""",1,0,1
"""Child Support""",10,0,3
"""Alimony and other spousal support""",1,0,1
"""Other Source""",3,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,44,0
