"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",89,5,25
"""Adults with Only Other Income""",121,20,21
"""Adults with Both Earned and Other Income""",11,1,4
"""Adults with No Income""",176,18,53
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",9,0,1
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,171,0
"""Number of Adult Stayers without Required Annual Assessment""",0,87,0
"""Total Adults""",406,302,104
"""1 or More Source of Income""",237,29,52
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,44,0
