, "At Start" , "At Annual Assessment for Stayers" , "At Exit for Leavers"
"""MEDICAID""",202,23,53
"""MEDICARE""",74,11,11
"""State Children's Health Insurance Program""",0,0,0
"""Veteran's Administration (VA) Medical Services""",10,8,2
"""Employer - Provided Health Insurance""",16,0,3
"""Health Insurance obtained through COBRA""",0,0,0
"""Private Pay Health Insurance""",32,2,4
"""State Health Insurance for Adults""",6,0,1
"""Indian Health Services Program""",0,0,0
"""Other""",3,0,2
"""No Health Insurance""",225,13,72
"""Client Doesn't Know/Client Refused""",1,0,0
"""Data Not Collected""",20,93,1
"""Number of Stayers not yet Required To Have an Annual Assessment""",0,254,0
"""1 Source of Health Insurance""",236,25,56
"""More than 1 Source of Health Insurance""",51,9,9
