"""Total Number of Persons Served""",580
"""Number of Adults (age 18 or over)""",410
"""Number of Children (under age 18)""",168
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",179
"""Number of Adult Leavers""",118
"""Number of Adult and Head of Household Leavers""",119
"""Number of Stayers""",401
"""Number of Adult Stayers""",292
"""Number of Veterans""",30
"""Number of Chronically Homeless Persons""",57
"""Number of Youth Under Age 25""",16
"""Number of Parenting Youth Under Age 25 with Children""",3
"""Number of Adult Heads of Household""",333
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",114
