, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",17,12,29,0.59,3,16,19,0.16,0,0,0,0.0
"""Supplemental Security Income (SSI)""",11,0,11,1.0,1,0,1,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",10,0,10,1.0,2,0,2,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,1,1,2,0.5,0,0,0,0.0
"""Retirement Income from Social Security""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,1,5,6,0.17,0,0,0,0.0
"""Other source""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",2,15,17,0.12,1,9,10,0.1,0,0,0,0.0
"""Unduplicated Total Adults""",37,27,64,,6,28,34,,0,0,0,
