, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",48,40,8,0,0
"""8 to 14 days""",11,1,10,0,0
"""15 to 21 days""",3,3,0,0,0
"""22 to 30 days""",16,3,13,0,0
"""31 to 60 days""",42,10,32,0,0
"""61 to 180 days""",39,20,18,1,0
"""181 to 365 days""",21,11,10,0,0
"""366-730 days (1-2 years)""",22,22,0,0,0
"""731 days or more""",26,26,0,0,0
"""Total (persons moved into housing)""",228,136,91,1,0
"""Not yet moved into housing""",22,7,15,0,0
"""Data not collected""",17,12,5,0,0
"""Total persons""",267,155,111,1,0
