, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",117,7,46
"""Unemployment Insurance""",1,0,0
"""Supplemental Security Income (SSI)""",66,19,12
"""Social Security Disability Insurance (SSDI)""",53,11,12
"""VA Service - Connected Disability Compensation""",7,2,0
"""VA Non-Service Connected Disability Pension""",3,0,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",10,0,2
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",5,1,0
"""Pension or retirement income from a former job""",1,0,1
"""Child Support""",20,0,6
"""Alimony and other spousal support""",0,0,0
"""Other Source""",1,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,47,0
