"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",103,6,43
"""Adults with Only Other Income""",124,23,23
"""Adults with Both Earned and Other Income""",13,1,3
"""Adults with No Income""",147,17,36
"""Adults with Client Doesn't Know/Client Refused Income Information""",2,0,3
"""Adults with Missing Income Information""",21,0,10
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,178,0
"""Number of Adult Stayers without Required Annual Assessment""",0,67,0
"""Total Adults""",410,292,118
"""1 or More Source of Income""",255,33,71
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,47,0
