count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2016-09-01,2016-09-30,Q20b,benefit_at_entry,280
No Sources,all_persons,2016-09-01,2016-09-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,15
No Sources,all_persons,2016-09-01,2016-09-30,Q20b,benefit_at_exit_for_leavers,71
1 + Source(s),all_persons,2016-09-01,2016-09-30,Q20b,benefit_at_entry,159
1 + Source(s),all_persons,2016-09-01,2016-09-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,15
1 + Source(s),all_persons,2016-09-01,2016-09-30,Q20b,benefit_at_exit_for_leavers,53
Client Doesn't Know/Client Refused,all_persons,2016-09-01,2016-09-30,Q20b,benefit_at_entry,0
Client Doesn't Know/Client Refused,all_persons,2016-09-01,2016-09-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2016-09-01,2016-09-30,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2016-09-01,2016-09-30,Q20b,benefit_at_entry,39
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2016-09-01,2016-09-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,315
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2016-09-01,2016-09-30,Q20b,benefit_at_exit_for_leavers,9
