income_range,population,start_date,end_date,question,status,count
No Income,adults,2016-09-01,2016-09-30,Q16,income_at_start,143
No Income,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,9
No Income,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,35
$1 -  $150,adults,2016-09-01,2016-09-30,Q16,income_at_start,2
$1 -  $150,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,0
$151 - $250,adults,2016-09-01,2016-09-30,Q16,income_at_start,5
$151 - $250,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,3
$251 - $500,adults,2016-09-01,2016-09-30,Q16,income_at_start,24
$251 - $500,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,1
$251 - $500,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,5
$501 - $1000,adults,2016-09-01,2016-09-30,Q16,income_at_start,97
$501 - $1000,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,9
$501 - $1000,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,22
$1001 - $1500,adults,2016-09-01,2016-09-30,Q16,income_at_start,72
$1001 - $1500,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,8
$1001 - $1500,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,16
$1501 - $2000,adults,2016-09-01,2016-09-30,Q16,income_at_start,49
$1501 - $2000,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,1
$1501 - $2000,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,24
$2001+,adults,2016-09-01,2016-09-30,Q16,income_at_start,42
$2001+,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,2
$2001+,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,20
Client Doesn't Know/Client Refused,adults,2016-09-01,2016-09-30,Q16,income_at_start,0
Client Doesn't Know/Client Refused,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,0
Data Not Collected,adults,2016-09-01,2016-09-30,Q16,income_at_start,44
Data Not Collected,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,1
Data Not Collected,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,8
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2016-09-01,2016-09-30,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,236
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2016-09-01,2016-09-30,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,78
Number of Adult Stayers without Required Annual Assessment,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2016-09-01,2016-09-30,Q16,income_at_start,478
Total Adults,adults,2016-09-01,2016-09-30,Q16,income_at_latest_annual_assessment_for_stayers,345
Total Adults,adults,2016-09-01,2016-09-30,Q16,income_at_exit_for_leavers,133
