income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,8,11,19,0.42,5,34,39,0.13,0,0,0,0.0,adults,2016-09-01,2016-09-30,Q19b
Supplemental Security Income (SSI),12,2,14,0.86,3,1,4,0.75,0,0,0,0.0,adults,2016-09-01,2016-09-30,Q19b
Social Security Disability Insurance (SSDI),8,0,8,1.0,1,1,2,0.5,0,0,0,0.0,adults,2016-09-01,2016-09-30,Q19b
VA Service-Connected Disability Compensation,2,0,2,1.0,0,0,0,0.0,0,0,0,0.0,adults,2016-09-01,2016-09-30,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2016-09-01,2016-09-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2016-09-01,2016-09-30,Q19b
Temporary Assistance for Needy Families (TANF),0,1,1,0.0,0,1,1,0.0,0,0,0,0.0,adults,2016-09-01,2016-09-30,Q19b
Retirement Income from Social Security,1,3,4,0.25,0,0,0,0.0,0,0,0,0.0,adults,2016-09-01,2016-09-30,Q19b
Pension or retirement income from a former job,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2016-09-01,2016-09-30,Q19b
Child Support,0,1,1,0.0,1,6,7,0.14,0,0,0,0.0,adults,2016-09-01,2016-09-30,Q19b
Other source,2,1,3,0.67,1,1,2,0.5,0,0,0,0.0,adults,2016-09-01,2016-09-30,Q19b
No Sources,7,9,16,0.44,3,15,18,0.17,0,0,0,0.0,adults,2016-09-01,2016-09-30,Q19b
Unduplicated Total Adults,33,26,59,NA,12,51,63,NA,0,0,0,NA,adults,2016-09-01,2016-09-30,Q19b
