non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_start,156
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_latest_annual_assessment_for_stayers,14
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_exit_for_leavers,52
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_start,14
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_exit_for_leavers,5
TANF Child Care Services,all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_start,1
TANF Child Care Services,all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_exit_for_leavers,0
TANF Transportation Services,all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_start,0
TANF Transportation Services,all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_start,1
Other TANF-Funded Services,all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_exit_for_leavers,0
Other Source,all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_start,10
Other Source,all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_latest_annual_assessment_for_stayers,12
Other Source,all_persons,2016-09-01,2016-09-30,Q20a,benefit_at_exit_for_leavers,4
