veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,14,all_persons,2016-09-01,2016-09-30,Q25a,without_children,14
Chronically Homeless Veteran,14,all_persons,2016-09-01,2016-09-30,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,14,all_persons,2016-09-01,2016-09-30,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,13,all_persons,2016-09-01,2016-09-30,Q25a,without_children,10
Non-Chronically Homeless Veteran,13,all_persons,2016-09-01,2016-09-30,Q25a,with_children_and_adults,3
Non-Chronically Homeless Veteran,13,all_persons,2016-09-01,2016-09-30,Q25a,unknown_household_type,0
Not a Veteran,442,all_persons,2016-09-01,2016-09-30,Q25a,without_children,260
Not a Veteran,442,all_persons,2016-09-01,2016-09-30,Q25a,with_children_and_adults,181
Not a Veteran,442,all_persons,2016-09-01,2016-09-30,Q25a,unknown_household_type,1
Client Doesn't Know/Client Refused,1,all_persons,2016-09-01,2016-09-30,Q25a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2016-09-01,2016-09-30,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2016-09-01,2016-09-30,Q25a,unknown_household_type,0
Data Not Collected,8,all_persons,2016-09-01,2016-09-30,Q25a,without_children,8
Data Not Collected,8,all_persons,2016-09-01,2016-09-30,Q25a,with_children_and_adults,0
Data Not Collected,8,all_persons,2016-09-01,2016-09-30,Q25a,unknown_household_type,0
