"""Total Number of Persons Served""",517
"""Number of Adults (age 18 or over)""",356
"""Number of Children (under age 18)""",159
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",96
"""Number of Adult Leavers""",62
"""Number of Adult and Head of Household Leavers""",62
"""Number of Stayers""",421
"""Number of Adult Stayers""",294
"""Number of Veterans""",31
"""Number of Chronically Homeless Persons""",56
"""Number of Youth Under Age 25""",13
"""Number of Parenting Youth Under Age 25 with Children""",2
"""Number of Adult Heads of Household""",289
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",114
