, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",97,7,22
"""Unemployment Insurance""",1,0,1
"""Supplemental Security Income (SSI)""",65,21,8
"""Social Security Disability Insurance (SSDI)""",48,12,8
"""VA Service - Connected Disability Compensation""",7,2,1
"""VA Non-Service Connected Disability Pension""",3,1,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",12,0,4
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",5,1,1
"""Pension or retirement income from a former job""",1,0,1
"""Child Support""",18,0,4
"""Alimony and other spousal support""",0,0,0
"""Other Source""",1,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,47,0
