, "At Start" , "At Annual Assessment for Stayers" , "At Exit for Leavers"
"""MEDICAID""",602,40,85
"""MEDICARE""",103,18,12
"""State Children's Health Insurance Program""",5,0,0
"""Veteran's Administration (VA) Medical Services""",20,13,0
"""Employer - Provided Health Insurance""",34,0,2
"""Health Insurance obtained through COBRA""",0,0,0
"""Private Pay Health Insurance""",40,2,1
"""State Health Insurance for Adults""",5,1,0
"""Indian Health Services Program""",2,0,0
"""Other""",8,0,1
"""No Health Insurance""",334,11,59
"""Client Doesn't Know/Client Refused""",1,0,0
"""Data Not Collected""",78,375,4
"""Number of Stayers not yet Required To Have an Annual Assessment""",0,553,0
"""1 Source of Health Insurance""",636,46,83
"""More than 1 Source of Health Insurance""",88,13,9
