, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",1,1,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",38,25,13,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",1,1,0,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Staying or living with family, permanent tenure""",7,3,4,0,0
"""Staying or living with friends, permanent tenure""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",12,3,9,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Subtotal""",62,36,26,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",30,18,12,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",11,11,0,0,0
"""Staying or living with friends, temporary tenure""",21,21,0,0,0
"""Place not meant for human habitation""",33,30,3,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",18,18,0,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",113,98,15,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",1,1,0,0,0
"""Jail, prison, or juvenile detention facility""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",3,3,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",1,1,0,0,0
"""Client Doesn't Know/Client Refused""",2,2,0,0,0
"""Data Not Collected (no exit interview completed)""",25,25,0,0,0
"""Subtotal""",29,29,0,0,0
"""Total""",207,166,41,0,0
"""Total persons exiting to positive housing destinations""",15,15,0,0,0
"""Total persons whose destinations excluded them from the calculation""",0,0,0,0,0
"""Percentage""",0.07,0.09,0.0,0.0,0.0
