, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",386,11,75
"""$1 -  $150""",2,0,0
"""$151 - $250""",7,0,2
"""$251 - $500""",21,2,2
"""$501 - $1000""",139,19,20
"""$1001 - $1500""",83,13,7
"""$1501 - $2000""",65,6,6
"""$2001+""",64,4,5
"""Client Doesn't Know/Client Refused""",2,0,0
"""Data Not Collected""",168,6,64
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,455,0
"""Number of Adult Stayers without Required Annual Assessment""",0,240,0
"""Total Adults""",937,756,181
