"""Number of Youth by Income Category""", "Number of Youth at Start" , "Number of Youth at Annual Assessment (Stayers)" , "Number of Youth at Exit (Leavers)"
"""Youth with Only Earned Income (ie.e, Employment Income)""",13,0,0
"""Youth with Only Other Income""",6,0,3
"""Youth with Both Earned and Other Income""",0,0,0
"""Youth with No Income""",46,0,13
"""Youth with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Youth with Missing Income Information""",2,0,0
"""Number of Youth Stayers not yet Required to Have an Annual Assessment""",0,30,0
"""Number of Youth Stayers without Required Annual Assessment""",0,21,0
"""Total Youth""",67,51,16
"""1 or More Source of Income""",21,0,3
"""Youth with Income Information at Start and Annual Assessment/Exit""",0,0,0
