, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",6,7,13,0.46,0,2,2,0.0,0,0,0,0.0
"""Supplemental Security Income (SSI)""",12,0,12,1.0,0,1,1,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",13,2,15,0.87,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",4,0,4,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,2,2,0.0,0,2,2,0.0,0,0,0,0.0
"""Other source""",2,0,2,1.0,0,1,1,0.0,0,0,0,0.0
"""No Sources""",23,35,58,0.4,0,6,6,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",51,45,96,,0,11,11,,0,0,0,
