, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",21,7,1
"""Unemployment Insurance""",1,0,0
"""Supplemental Security Income (SSI)""",40,13,3
"""Social Security Disability Insurance (SSDI)""",29,8,2
"""VA Service - Connected Disability Compensation""",2,3,0
"""VA Non-Service Connected Disability Pension""",3,1,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",3,1,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",3,3,0
"""Pension or retirement income from a former job""",2,1,0
"""Child Support""",1,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",2,0,0
"""Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit""",0,45,0
