, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",145,127,18,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Place not meant for human habitation""",232,214,18,0,0
"""Safe Haven""",3,1,2,0,0
"""Host Home""",1,1,0,0,0
"""Subtotal""",383,345,38,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",5,5,0,0,0
"""Substance abuse treatment facility or detox center""",3,3,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",12,12,0,0,0
"""Jail, prison or juvenile detention facility""",22,22,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Subtotal""",42,42,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",7,7,0,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",1,1,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",1,0,1,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Rental by client, no ongoing housing subsidy""",185,137,45,0,3
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",7,6,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",89,68,20,0,1
"""Staying or living in a friend''s room, apartment or house""",95,79,16,0,0
"""Staying or living in a family member''s room, apartment or house""",102,66,36,0,0
"""Client Doesn''t Know/Client Refused""",3,3,0,0,0
"""Data not collected""",20,15,5,0,0
"""Subtotal""",512,384,124,0,4
"""Total""",937,771,162,0,4
