income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,13,12,25,0.52,1,12,13,0.08,0,0,0,0.0,adults,2022-03-01,2022-03-31,Q19b
Supplemental Security Income (SSI),16,2,18,0.89,0,1,1,0.0,0,0,0,0.0,adults,2022-03-01,2022-03-31,Q19b
Social Security Disability Insurance (SSDI),13,1,14,0.93,0,0,0,0.0,0,0,0,0.0,adults,2022-03-01,2022-03-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2022-03-01,2022-03-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-03-01,2022-03-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-03-01,2022-03-31,Q19b
Temporary Assistance for Needy Families (TANF),2,0,2,1.0,1,1,2,0.5,0,0,0,0.0,adults,2022-03-01,2022-03-31,Q19b
Retirement Income from Social Security,2,1,3,0.67,0,0,0,0.0,0,0,0,0.0,adults,2022-03-01,2022-03-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-03-01,2022-03-31,Q19b
Child Support,0,0,0,0.0,0,2,2,0.0,0,0,0,0.0,adults,2022-03-01,2022-03-31,Q19b
Other source,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-03-01,2022-03-31,Q19b
No Sources,16,33,49,0.33,1,14,15,0.07,0,0,0,0.0,adults,2022-03-01,2022-03-31,Q19b
Unduplicated Total Adults,53,49,102,NA,3,27,30,NA,0,0,0,NA,adults,2022-03-01,2022-03-31,Q19b
