income_range,population,start_date,end_date,question,status,count
No Income,adults,2022-03-01,2022-03-31,Q16,income_at_start,577
No Income,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,10
No Income,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,73
$1 -  $150,adults,2022-03-01,2022-03-31,Q16,income_at_start,5
$1 -  $150,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,0
$151 - $250,adults,2022-03-01,2022-03-31,Q16,income_at_start,6
$151 - $250,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,2
$251 - $500,adults,2022-03-01,2022-03-31,Q16,income_at_start,29
$251 - $500,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,2
$251 - $500,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,4
$501 - $1000,adults,2022-03-01,2022-03-31,Q16,income_at_start,172
$501 - $1000,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,17
$501 - $1000,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,18
$1001 - $1500,adults,2022-03-01,2022-03-31,Q16,income_at_start,105
$1001 - $1500,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,15
$1001 - $1500,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,13
$1501 - $2000,adults,2022-03-01,2022-03-31,Q16,income_at_start,107
$1501 - $2000,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,6
$1501 - $2000,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,13
$2001+,adults,2022-03-01,2022-03-31,Q16,income_at_start,105
$2001+,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,6
$2001+,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,20
Client Doesn't Know/Client Refused,adults,2022-03-01,2022-03-31,Q16,income_at_start,4
Client Doesn't Know/Client Refused,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,1
Data Not Collected,adults,2022-03-01,2022-03-31,Q16,income_at_start,307
Data Not Collected,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,0
Data Not Collected,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,70
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2022-03-01,2022-03-31,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,741
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2022-03-01,2022-03-31,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,406
Number of Adult Stayers without Required Annual Assessment,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2022-03-01,2022-03-31,Q16,income_at_start,1417
Total Adults,adults,2022-03-01,2022-03-31,Q16,income_at_latest_annual_assessment_for_stayers,1203
Total Adults,adults,2022-03-01,2022-03-31,Q16,income_at_exit_for_leavers,214
