time_prior_to_housing,total,population,start_date,end_date,question,household_type,count
7 days or less,179,all_persons,2022-03-01,2022-03-31,Q22e,without_children,114
7 days or less,179,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,64
7 days or less,179,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,0
7 days or less,179,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,1
8 to 14 days,35,all_persons,2022-03-01,2022-03-31,Q22e,without_children,23
8 to 14 days,35,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,12
8 to 14 days,35,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,0
8 to 14 days,35,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,0
15 to 21 days,26,all_persons,2022-03-01,2022-03-31,Q22e,without_children,19
15 to 21 days,26,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,7
15 to 21 days,26,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,0
15 to 21 days,26,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,0
22 to 30 days,17,all_persons,2022-03-01,2022-03-31,Q22e,without_children,15
22 to 30 days,17,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,2
22 to 30 days,17,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,0
22 to 30 days,17,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,0
31 to 60 days,35,all_persons,2022-03-01,2022-03-31,Q22e,without_children,28
31 to 60 days,35,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,7
31 to 60 days,35,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,0
31 to 60 days,35,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,0
61 to 180 days,114,all_persons,2022-03-01,2022-03-31,Q22e,without_children,75
61 to 180 days,114,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,39
61 to 180 days,114,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,0
61 to 180 days,114,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,0
181 to 365 days,59,all_persons,2022-03-01,2022-03-31,Q22e,without_children,52
181 to 365 days,59,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,7
181 to 365 days,59,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,0
181 to 365 days,59,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,0
366-730 days (1-2 years),53,all_persons,2022-03-01,2022-03-31,Q22e,without_children,53
366-730 days (1-2 years),53,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,0
366-730 days (1-2 years),53,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,0
366-730 days (1-2 years),53,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,0
731 days or more,113,all_persons,2022-03-01,2022-03-31,Q22e,without_children,100
731 days or more,113,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,13
731 days or more,113,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,0
731 days or more,113,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,0
Total (persons moved into housing),631,all_persons,2022-03-01,2022-03-31,Q22e,without_children,479
Total (persons moved into housing),631,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,151
Total (persons moved into housing),631,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,0
Total (persons moved into housing),631,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,1
Not yet moved into housing,32,all_persons,2022-03-01,2022-03-31,Q22e,without_children,25
Not yet moved into housing,32,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,7
Not yet moved into housing,32,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,0
Not yet moved into housing,32,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,0
Data not collected,83,all_persons,2022-03-01,2022-03-31,Q22e,without_children,37
Data not collected,83,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,38
Data not collected,83,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,5
Data not collected,83,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,3
Total persons,746,all_persons,2022-03-01,2022-03-31,Q22e,without_children,541
Total persons,746,all_persons,2022-03-01,2022-03-31,Q22e,with_children_and_adults,196
Total persons,746,all_persons,2022-03-01,2022-03-31,Q22e,with_only_children,5
Total persons,746,all_persons,2022-03-01,2022-03-31,Q22e,unknown_household_type,4
