count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,143,40,39,all_persons,2022-03-01,2022-03-31,Q13b2,without_children,62
None,143,40,39,all_persons,2022-03-01,2022-03-31,Q13b2,with_only_children,0
None,143,40,39,all_persons,2022-03-01,2022-03-31,Q13b2,unknown_household_type,2
1 Condition,34,3,2,all_persons,2022-03-01,2022-03-31,Q13b2,without_children,29
1 Condition,34,3,2,all_persons,2022-03-01,2022-03-31,Q13b2,with_only_children,0
1 Condition,34,3,2,all_persons,2022-03-01,2022-03-31,Q13b2,unknown_household_type,0
2 Conditions,20,0,1,all_persons,2022-03-01,2022-03-31,Q13b2,without_children,19
2 Conditions,20,0,1,all_persons,2022-03-01,2022-03-31,Q13b2,with_only_children,0
2 Conditions,20,0,1,all_persons,2022-03-01,2022-03-31,Q13b2,unknown_household_type,0
3+ Conditions,14,0,0,all_persons,2022-03-01,2022-03-31,Q13b2,without_children,14
3+ Conditions,14,0,0,all_persons,2022-03-01,2022-03-31,Q13b2,with_only_children,0
3+ Conditions,14,0,0,all_persons,2022-03-01,2022-03-31,Q13b2,unknown_household_type,0
Condition Unknown,38,6,1,all_persons,2022-03-01,2022-03-31,Q13b2,without_children,31
Condition Unknown,38,6,1,all_persons,2022-03-01,2022-03-31,Q13b2,with_only_children,0
Condition Unknown,38,6,1,all_persons,2022-03-01,2022-03-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2022-03-01,2022-03-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2022-03-01,2022-03-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2022-03-01,2022-03-31,Q13b2,unknown_household_type,0
Data Not Collected,48,0,37,all_persons,2022-03-01,2022-03-31,Q13b2,without_children,6
Data Not Collected,48,0,37,all_persons,2022-03-01,2022-03-31,Q13b2,with_only_children,0
Data Not Collected,48,0,37,all_persons,2022-03-01,2022-03-31,Q13b2,unknown_household_type,5
