veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,24,all_persons,2022-03-01,2022-03-31,Q25a,without_children,24
Chronically Homeless Veteran,24,all_persons,2022-03-01,2022-03-31,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,24,all_persons,2022-03-01,2022-03-31,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,59,all_persons,2022-03-01,2022-03-31,Q25a,without_children,54
Non-Chronically Homeless Veteran,59,all_persons,2022-03-01,2022-03-31,Q25a,with_children_and_adults,5
Non-Chronically Homeless Veteran,59,all_persons,2022-03-01,2022-03-31,Q25a,unknown_household_type,0
Not a Veteran,1306,all_persons,2022-03-01,2022-03-31,Q25a,without_children,1024
Not a Veteran,1306,all_persons,2022-03-01,2022-03-31,Q25a,with_children_and_adults,274
Not a Veteran,1306,all_persons,2022-03-01,2022-03-31,Q25a,unknown_household_type,8
Client Doesn't Know/Client Refused,4,all_persons,2022-03-01,2022-03-31,Q25a,without_children,4
Client Doesn't Know/Client Refused,4,all_persons,2022-03-01,2022-03-31,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_persons,2022-03-01,2022-03-31,Q25a,unknown_household_type,0
Data Not Collected,24,all_persons,2022-03-01,2022-03-31,Q25a,without_children,19
Data Not Collected,24,all_persons,2022-03-01,2022-03-31,Q25a,with_children_and_adults,4
Data Not Collected,24,all_persons,2022-03-01,2022-03-31,Q25a,unknown_household_type,1
