persons_served,total,population,start_date,end_date,question,household_type,count
Adults,1417,all_persons,2022-03-01,2022-03-31,Q7a,without_children,1125
Adults,1417,all_persons,2022-03-01,2022-03-31,Q7a,with_children_and_adults,283
Adults,1417,all_persons,2022-03-01,2022-03-31,Q7a,with_only_children,0
Adults,1417,all_persons,2022-03-01,2022-03-31,Q7a,unknown_household_type,9
Children,421,all_persons,2022-03-01,2022-03-31,Q7a,without_children,0
Children,421,all_persons,2022-03-01,2022-03-31,Q7a,with_children_and_adults,387
Children,421,all_persons,2022-03-01,2022-03-31,Q7a,with_only_children,34
Children,421,all_persons,2022-03-01,2022-03-31,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_persons,2022-03-01,2022-03-31,Q7a,without_children,0
Client Doesn't Know/Client Refused,4,all_persons,2022-03-01,2022-03-31,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_persons,2022-03-01,2022-03-31,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,4,all_persons,2022-03-01,2022-03-31,Q7a,unknown_household_type,4
Data Not Collected,13,all_persons,2022-03-01,2022-03-31,Q7a,without_children,0
Data Not Collected,13,all_persons,2022-03-01,2022-03-31,Q7a,with_children_and_adults,0
Data Not Collected,13,all_persons,2022-03-01,2022-03-31,Q7a,with_only_children,0
Data Not Collected,13,all_persons,2022-03-01,2022-03-31,Q7a,unknown_household_type,13
For PSH and RRH - the total persons served who moved into housing,167,all_persons,2022-03-01,2022-03-31,Q7a,without_children,105
For PSH and RRH - the total persons served who moved into housing,167,all_persons,2022-03-01,2022-03-31,Q7a,with_children_and_adults,62
For PSH and RRH - the total persons served who moved into housing,167,all_persons,2022-03-01,2022-03-31,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,167,all_persons,2022-03-01,2022-03-31,Q7a,unknown_household_type,0
