number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_start,237
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_annual_assessment_stayers,8
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_exit_leavers,36
Adults with Only Other Income,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_start,258
Adults with Only Other Income,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_annual_assessment_stayers,36
Adults with Only Other Income,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_exit_leavers,32
Adults with Both Earned and Other Income,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_start,34
Adults with Both Earned and Other Income,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_annual_assessment_stayers,2
Adults with Both Earned and Other Income,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_exit_leavers,2
Adults with No Income,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_start,823
Adults with No Income,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_annual_assessment_stayers,10
Adults with No Income,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_exit_leavers,136
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_start,4
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_exit_leavers,1
Adults with Missing Income Information,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_start,57
Adults with Missing Income Information,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_exit_leavers,7
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_annual_assessment_stayers,741
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_annual_assessment_stayers,406
Number of Adult Stayers without Required Annual Assessment,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_start,1417
Total Adults,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_annual_assessment_stayers,1203
Total Adults,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_exit_leavers,214
1 or More Source of Income,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_start,593
1 or More Source of Income,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_annual_assessment_stayers,47
1 or More Source of Income,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_exit_leavers,79
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_annual_assessment_stayers,56
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2022-03-01,2022-03-31,Q18,number_of_adults_at_exit_leavers,0
