, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",31,22,9,0,0
"""8 to 14 days""",4,4,0,0,0
"""15 to 21 days""",9,3,6,0,0
"""22 to 30 days""",12,6,6,0,0
"""31 to 60 days""",22,13,9,0,0
"""61 to 180 days""",66,28,38,0,0
"""181 to 365 days""",36,23,13,0,0
"""366-730 days (1-2 years)""",39,33,6,0,0
"""731 days or more""",51,42,9,0,0
"""Total (persons moved into housing)""",270,174,96,0,0
"""Not yet moved into housing""",26,6,20,0,0
"""Data not collected""",21,14,7,0,0
"""Total persons""",317,194,123,0,0
