, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",158,8,28
"""$1 -  $150""",5,0,0
"""$151 - $250""",9,0,0
"""$251 - $500""",17,1,3
"""$501 - $1000""",78,16,15
"""$1001 - $1500""",52,13,6
"""$1501 - $2000""",44,6,9
"""$2001+""",33,5,13
"""Client Doesn't Know/Client Refused""",1,0,0
"""Data Not Collected""",52,3,11
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,257,0
"""Number of Adult Stayers without Required Annual Assessment""",0,55,0
"""Total Adults""",449,364,85
