, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",121,8,35
"""Unemployment Insurance""",1,0,0
"""Supplemental Security Income (SSI)""",71,23,8
"""Social Security Disability Insurance (SSDI)""",53,9,3
"""VA Service - Connected Disability Compensation""",5,4,0
"""VA Non-Service Connected Disability Pension""",3,3,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",10,1,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",8,2,3
"""Pension or retirement income from a former job""",7,0,0
"""Child Support""",10,1,2
"""Alimony and other spousal support""",1,0,1
"""Other Source""",2,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,52,0
