"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",103,5,30
"""Adults with Only Other Income""",117,33,11
"""Adults with Both Earned and Other Income""",18,3,5
"""Adults with No Income""",206,11,39
"""Adults with Client Doesn't Know/Client Refused Income Information""",1,0,0
"""Adults with Missing Income Information""",4,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,257,0
"""Number of Adult Stayers without Required Annual Assessment""",0,55,0
"""Total Adults""",449,364,85
"""1 or More Source of Income""",255,45,49
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,52,0
