, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",8,15,23,0.35,2,16,18,0.11,0,0,0,0.0
"""Supplemental Security Income (SSI)""",5,1,6,0.83,2,0,2,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",3,0,3,1.0,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",3,0,3,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,1,1,0.0,1,0,1,1.0,0,0,0,0.0
"""Other source""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",5,15,20,0.25,1,6,7,0.14,0,0,0,0.0
"""Unduplicated Total Adults""",21,31,52,,5,22,27,,0,0,0,
