, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",11,18,29,0.38,2,4,6,0.33,0,0,0,0.0
"""Supplemental Security Income (SSI)""",15,2,17,0.88,0,1,1,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",8,0,8,1.0,0,2,2,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,0,1,1.0,0,2,2,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,3,4,0.25,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,1,1,0.0,2,0,2,1.0,0,0,0,0.0
"""Other source""",3,0,3,1.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",20,37,57,0.35,1,10,11,0.09,0,0,0,0.0
"""Unduplicated Total Adults""",54,61,115,,3,18,21,,0,0,0,
