, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",191,7,35
"""Unemployment Insurance""",7,0,2
"""Supplemental Security Income (SSI)""",132,19,19
"""Social Security Disability Insurance (SSDI)""",88,13,8
"""VA Service - Connected Disability Compensation""",6,2,0
"""VA Non-Service Connected Disability Pension""",3,2,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",15,1,3
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",20,3,4
"""Pension or retirement income from a former job""",5,0,0
"""Child Support""",13,0,3
"""Alimony and other spousal support""",0,0,0
"""Other Source""",9,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,57,0
