"""Total Number of Persons Served""",1249
"""Number of Adults (age 18 or over)""",981
"""Number of Children (under age 18)""",257
"""Number of Persons with Unknown Age""",11
"""Number of Leavers""",237
"""Number of Adult Leavers""",207
"""Number of Adult and Head of Household Leavers""",209
"""Number of Stayers""",1012
"""Number of Adult Stayers""",774
"""Number of Veterans""",55
"""Number of Chronically Homeless Persons""",197
"""Number of Youth Under Age 25""",76
"""Number of Parenting Youth Under Age 25 with Children""",15
"""Number of Adult Heads of Household""",815
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",318
