, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",109,70,38,0,1
"""8 to 14 days""",8,8,0,0,0
"""15 to 21 days""",10,10,0,0,0
"""22 to 30 days""",12,5,7,0,0
"""31 to 60 days""",28,20,8,0,0
"""61 to 180 days""",65,38,27,0,0
"""181 to 365 days""",41,29,12,0,0
"""366-730 days (1-2 years)""",44,44,0,0,0
"""731 days or more""",78,67,11,0,0
"""Total (persons moved into housing)""",395,291,103,0,1
"""Not yet moved into housing""",39,25,14,0,0
"""Data not collected""",13,11,2,0,0
"""Total persons""",447,327,119,0,1
