dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,34,all_persons,2019-01-01,2019-01-31,Q14b,without_children,24
Yes,34,all_persons,2019-01-01,2019-01-31,Q14b,with_children_and_adults,10
Yes,34,all_persons,2019-01-01,2019-01-31,Q14b,with_only_children,0
Yes,34,all_persons,2019-01-01,2019-01-31,Q14b,unknown_household_type,0
No,113,all_persons,2019-01-01,2019-01-31,Q14b,without_children,89
No,113,all_persons,2019-01-01,2019-01-31,Q14b,with_children_and_adults,24
No,113,all_persons,2019-01-01,2019-01-31,Q14b,with_only_children,0
No,113,all_persons,2019-01-01,2019-01-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2019-01-01,2019-01-31,Q14b,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2019-01-01,2019-01-31,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2019-01-01,2019-01-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2019-01-01,2019-01-31,Q14b,unknown_household_type,0
Data Not Collected,3,all_persons,2019-01-01,2019-01-31,Q14b,without_children,3
Data Not Collected,3,all_persons,2019-01-01,2019-01-31,Q14b,with_children_and_adults,0
Data Not Collected,3,all_persons,2019-01-01,2019-01-31,Q14b,with_only_children,0
Data Not Collected,3,all_persons,2019-01-01,2019-01-31,Q14b,unknown_household_type,0
